city,temperature,humidity,timestamp
Pretoria,34.5,42,2026-06-18 21:55:42
Bloemfontein,33.4,46,2026-06-18 21:55:42
Bloemfontein,30.0,59,2026-06-18 21:55:42
Bloemfontein,13.3,,2026-06-18 21:55:42
Durban,26.8,43,2026-06-18 21:55:42
Pretoria,,48,2026-06-18 21:55:42
Bloemfontein,32.8,,18/06/2026
Durban,14.0,37,18/06/2026
Bloemfontein,26.1°C,39,2026-06-18 21:55:42
Cape Town,,40,2026-06-18 21:55:42
Johannesburg,,27,2026-06-18 21:55:42
Cape Town,11.0,,2026-06-18 21:55:42
Bloemfontein,,-1,18/06/2026
Bloemfontein,28.6°C,83,2026-06-18 21:55:42
Durban,21.8,65,2026-06-18 21:55:42
Durban,,60,2026-06-18 21:55:42
Bloemfontein,29.3,36,2026-06-18 21:55:42
Johannesburg,22.2,59,2026-06-18 21:55:42
Cape Town,10.3,67,18/06/2026
Cape Town,27.5°C,31,2026-06-18 21:55:42
